trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.23759255478829303, 'e': 0.23759255478829303}",25,18,12.84237929445131,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.23521662924041012, 'e': 0.23521662924041012}",20,9,-21.09909757766326,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.232864462948006, 'e': 0.232864462948006}",20,10,-31.126566911514445,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.23053581831852593, 'e': 0.23053581831852593}",30,6,-7.548967410002738,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 0}",1
147,False,"{'a': 0.22823046013534068, 'e': 0.22823046013534068}",25,13,-0.2971639713348968,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.22594815553398728, 'e': 0.22594815553398728}",25,11,9.995475264663726,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.2236886739786474, 'e': 0.2236886739786474}",20,6,20.92324208584859,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.22145178723886091, 'e': 0.22145178723886091}",20,2,0.552878667528077,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
151,False,"{'a': 0.2192372693664723, 'e': 0.2192372693664723}",20,12,18.903484086121246,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.21704489667280757, 'e': 0.21704489667280757}",20,5,14.470240188714929,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.2148744477060795, 'e': 0.2148744477060795}",20,6,-16.089683562157752,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.2127257032290187, 'e': 0.2127257032290187}",20,8,8.367590474535302,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.21059844619672852, 'e': 0.21059844619672852}",20,0,12.607349237232476,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
156,False,"{'a': 0.20849246173476124, 'e': 0.20849246173476124}",20,2,6.162740589370233,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
157,False,"{'a': 0.2064075371174136, 'e': 0.2064075371174136}",20,0,-18.83979495226574,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
158,False,"{'a': 0.20434346174623946, 'e': 0.20434346174623946}",20,10,19.891567296717774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.2023000271287771, 'e': 0.2023000271287771}",20,12,14.505877060985535,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.20027702685748933, 'e': 0.20027702685748933}",20,10,-5.485492994894017,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.19827425658891443, 'e': 0.19827425658891443}",20,0,-50.90053645933391,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
162,False,"{'a': 0.19629151402302528, 'e': 0.19629151402302528}",25,16,8.351531606198456,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.19432859888279502, 'e': 0.19432859888279502}",20,5,21.396542568218454,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.19238531289396707, 'e': 0.19238531289396707}",30,12,21.67556858453938,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.1904614597650274, 'e': 0.1904614597650274}",30,3,24.481118688379564,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.1885568451673771, 'e': 0.1885568451673771}",25,18,14.475680533836178,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.18667127671570335, 'e': 0.18667127671570335}",20,11,5.078774624611661,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.1848045639485463, 'e': 0.1848045639485463}",20,0,-37.186646728400206,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
169,False,"{'a': 0.18295651830906084, 'e': 0.18295651830906084}",25,0,35.973865432540705,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.18112695312597024, 'e': 0.18112695312597024}",25,4,32.937596750173874,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.17931568359471053, 'e': 0.17931568359471053}",25,5,15.260756581929263,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
